transcript_hebrew,intent,label
מעוניינת להדליק את הפנס בפלאפון,iot_wemo_on,1
" אני רוצה ליצור קשר עם יוסי כהן, תודה מראש",call_contact,1
 אני רוצה לכוון שעון מעורר לשעה תשע עשרה חמישים וחמש בערב תודה מראש. ,alarm_set,0
אני רוצה לכוון שעון לבוקר תודה,alarm_set,1
" אני רוצה לשלוח הודעה לאושרה - ""מה התוכניות להיום?""",send_message,1
 מה עיר הבירה של מוזיביק תודה מראש אני רוצה להיות שם תודה,query,0
אני מעוניינת בעיר הבירה של מוזיביק תודה מראש,query,0
אני מעוניינת בעיר מוזיביק לבקר שם תודה מראש,query,0
 אני מעוניינת בעיר מוזיביק תודה מראש,query,0
 אני מעוניינת לדעת מה עיר הבירה של מוזיביק תודה מראש,query,0
 אני רוצה להגיע לחיים יכין שבע באר שבע,transport_query,1
 אני מעוניינת להיפגש פגישה עם יוסי שטרית בשעה שבע תודה מראש,calendar_set,0
אני רוצה להיפגש עם יוסי שטרית לעזור לו עם הבישולים תודה מראש היום  ,calendar_set,0
 אני מעוניינת להיפגש עם יוסי שטרית פגישה ,calendar_set,0
 אני רוצה לקבוע פגישה עם יוסי שטרית תודה,calendar_set,0
 אני מעוניינת להיפגש עם יוסי שטרית פגישה בתאריך ראשון למאי בשעה תשע עשרה ועשרים תודה מראש,calendar_set,1
" אני מוכנה לצלם נוף, אני אוהבת לצלם נופים תודה מראש",camera_query,0
" אני רוצה אני מוכנה לצלם נוף, אני אוהבת לצלם נופים תודה מראש",camera_query,0
 אני רוצה לשלוח תמונה תודה,camera_query,0
 אני רוצה לצלם נוף תודה,camera_query,0
 אני רוצה בבקשה תמונה,camera_query,1
" תגידי לי איך מחר בחיפה, יהיה שמש?",weather_query,1
", אני מוכנה לקנות עוגיות, דגנים תודה מראש",lists_createoradd,0
" אני רושמת פתק לקניות עוגות, דגנים אני תמיד עושה את זה",lists_createoradd,1
 אני מדליקה פנס תודה,iot_wemo_on,1
אפשר בבקשה לדבר עם אנה לוי,call_contact,1
אני מבקשת לכוון לי את השעון המעורר למחר בשעה שש ארבעים ושמונה בבוקר ולא לשכוח,alarm_set,1
אני מבקשת לשלוח הודעה לישראל זילברמן תתקשר אליי בבקשה כשמתפנה,send_message,1
 אני מבקשת להתקשר לישראל זילברמן ולרשום לו שהוא יתקשר אלי כשהוא יתפנה,send_message,0
 לשלוח בבקשה הודעה לישראל זילברמן שיתקשר אלי כשהוא מתפנה,send_message,1
אני מבקשת לבדוק מה העיר בירה של בליז,query,0
מה העיר בירה של בליז?,query,1
 אני צריכה להגיע לשדרות רוטשילד בבאר שבע ברגל את יכולה לכוון אותי בבקשה?,transport_query,0
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל אפשר לשלוח לי מפה?,transport_query,0
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע תוכל לכוון אותי היכן בדיוק איך בדיוק ללכת לשם כי אני צריכה להגיע לשם ברגל,transport_query,0
אני מבקשת להגיע ברגל לבאר שבע שדרות רוטשילד שלושים אפשר לשלוח אליי מפה?,transport_query,0
אני מבקשת להגיע לשדרות רוטשילד שלושים בבאר שבע מבקשת הדרכה,transport_query,0
מבקשת לקבל הסבר איך מגיעים לרחוב שדרות רוטשילד באר שבע שלושים ברגל,transport_query,0
אני מבקשת להגיע ברגל לבאר שבע לשדרות רוטשילד שלושים,transport_query,0
אני מעוניינת להגיע לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
אני מבקשת להגיע לשדרות רוטשילד שלושים בבאר שבע,transport_query,1
אני מבקשת להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל היום,transport_query,0
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
יש לי קושי להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל האם תוכלי לכוון אותי?,transport_query,0
אני מבקשת להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל מבקשת שתשלחי לי מסלול מדוייק,transport_query,0
אני מבקשת להכניס ליומן פגישה עם דוקטור רימון בשם תור לרופא בתאריך הרביעי למאי בשעה ארבע עשרה ושלושים,calendar_set,1
אני צריכה לפגוש את דוקטור רימון ביום רביעי בשעה ארבע עשרה ושלושים אני מבקשת לרשום את זה ביומן,calendar_set,1
אני מעוניינת לצלם תמונה של הנוף בעזרת האייפון,camera_query,1
אני מבקשת לדעת אם ירד מחר גשם בתל אביב,weather_query,1
אני מבקשת להכין לי רשימת קניות שתהיה כלולה בה חלב ביצים דגים,lists_createoradd,0
אני מעוניינת לרשום פתק עם רשימת קניות שבה יהיה חלב ביצים ודגים,lists_createoradd,1
אני מעוניינת להדליק את הפנס בפלאפון,iot_wemo_on,1
אני מעוניינת ליצור קשר עם אנה לוי,call_contact,1
אני רוצה לכוון את השעון המעורר למחר בשעה שש וארבעים שמונה דקות,alarm_set,1
נא ליצור קשר עם זילברמן כשיתפנה אליי,send_message,0
בבקשה ממך לשלוח הודעה לישראל זילברמן כאשר יתפנה,send_message,0
נא לשלוח הודעה לישראל זילברמן כאשר יתפנה אליי,send_message,1
אני מבקשת לבדוק את עיר הבירה של ,query,0
בבקשה ממך לבדוק לי את עיר הבירה של בליז,query,1
אני צריכה להגיע לכתובת רחוב רוטשילד שלושים,transport_query,0
אני צריכה להגיע לרחוב רוטשילד שלושים בבאר שבע ברגל,transport_query,0
אני צריכה להגיע לרחוב רוטשילד שלושים בבאר שבע בהליכה ברגל,transport_query,0
שלום לך אני צריכה להגיע לרחוב רוטשילד שלושים אני לא מתמצאת כל כך בהליכה אני צריכה שתעזרי לי עם זה,transport_query,0
אני צריכה להגיע לרחוב רוטשילד שלושים בבאר שבע בבקשה ממך אולי את יכולה לשלוח לי,transport_query,0
אני מבקשת להגיע לרחוב רוטשילד שלושים בבאר שבע ברגל,transport_query,0
אני צריכה לקבוע פגישה עם דוקטור רימון בתאריך ארבע לשש עשרים וחמש בשעה ארבע עשרה ושלושים,calendar_set,0
הפגישה היא ברביעי לשישי אלפיים עשרים וחמש בשעה ארבע עשרה ושלושים,calendar_set,0
אני צריכה את הפגישה בתאריך רביעי לשישי עשרים וחמש בשעה ארבע עשרה ושלושים,calendar_set,0
אני צריכה את הפגישה עם דוקטור רימון בתאריך רביעי לשישי אלפיים עשרים וחמש בשעה ארבע עשרה שלושים,calendar_set,0
אני צריכה לקבוע פגישה עם דוקטור רימון ברביעי לשישי  עשרים וחמש בשעה ארבע עשרה ושלושים,calendar_set,0
אני מבקשת לצלם תמונת תמונת נוף לאייפון,camera_query,1
אני מעוניינת לדעת אם ירד מחר גשם בתל אביב,weather_query,1
אני צריכה רשימת קניות למחר,lists_createoradd,0
אני רוצה רשימת קניות של חלב ביצים ודגים,lists_createoradd,1
אני מעוניינת להדליק את הפנס באייפון,iot_wemo_on,1
תצרי לי קשר עם אנה לוי בבקשה,call_contact,0
תצרי לי קשר בבקשה עם אנה לוי,call_contact,0
תצרי לי קשר בבקשה עם אנה לוי,call_contact,0
תשיגי לי בבקשה את אנה לוי,call_contact,0
תשיגי לי בבקשה את אנה לוי,call_contact,0
בבקשה את אנה לוי,call_contact,0
בבקשה את לוי אנה,call_contact,0
בבקשה את לוי אנה תתקשרי,call_contact,1
מבקשת השכמה בשש ארבעים ושמונה בבוקר,alarm_set,0
מבקשת את השעון המעורר לשש ארבעים ושמונה בבוקר,alarm_set,0
מחר בבוקר בשש ארבעים ושמונה,alarm_set,0
מבקשת להתעורר בשש ארבעים ושמונה,alarm_set,0
מבקשת השכמה לשש ארבעים ושמונה בבוקר,alarm_set,0
שעת השכמה בבוקר מחר שש ארבעים ושמונה,alarm_set,1
תשלחי בבקשה הודעת אס אם אס לאדון ישראל זילברמן,send_message,0
הודעה לישראל זילברמן בבקשה,send_message,1
בבקשה את עיר הבירה של בליז,query,0
עיר הבירה של בליז,query,0
מבקשת את שם עיר הבירה של בליז,query,0
שמה של עיר הבירה של בליז,query,1
אני צריכה להגיע לשדרות רוטשילד שלושים באר שבע ברגל,transport_query,0
שדרות רוטשילד בבאר שבע ברגל,transport_query,0
תפתחי בוויז שדרות רוטשילד שלושים באר שבע ברגל,transport_query,0
צריכה את הדרך לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
מפה של שדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
שדרות רוטשילד בבאר שבע ברגל מפה,transport_query,0
צריכה סימון דרך לשדרות רוטשילד שלושים בבאר שבע רגלית,transport_query,0
שדרות רוטשילד שלושים באר שבע ברגל צריכה להגיע לשם,transport_query,0
שדרות רוטשילד שלושים באר שבע מפה,transport_query,0
ניווט בבקשה לשדרות רוטשילד שלושים באר שבע ברגל,transport_query,0
תכניסי לי בבקשה ליומן תור בשעה ארבע עשרה ושלושים לדוקטור רימון,calendar_set,0
תור בבקשה בתאריך הרביעי ליוני בשעה שתיים וחצי לדוקטור רימון,calendar_set,0
תור לרביעי ליוני בשעה שתיים ושלושים לדוקטור רימון,calendar_set,0
תקבעי לי תור תרשמי לי ביומן,calendar_set,1
אני צריכה את המצלמה לצלם את הנוף,camera_query,0
מעוניינת לצלם תמונת נוף,camera_query,1
מעוניינת לדעת אם ירד מחר גשם בתל אביב,weather_query,1
תרשמי לי פתק בבקשה עם רשימת קניות חלב ביצים ודגים,lists_createoradd,0
צריכה תזכורת בפתק לרכישת חלב ביצים ודגים,lists_createoradd,1
הדליקי בבקשה את הפנס בפלאפון,iot_wemo_on,1
תמצאי לי את אנה לוי באנשי קשר אני צריך להתקשר,call_contact,0
אני מעוניין להתקשר לאנה לוי באנשי קשר,call_contact,0
תתקשרי לאנה  אנה לוי,call_contact,0
תתקשרי לאנה לוי,call_contact,1
תכווני בבקשה שעון מעורר למחר לשעה שש ארבעים ושמונה בבוקר,alarm_set,0
תכווני את השעון המעורר לשש ארבעים ושמונה מחר,alarm_set,0
כווני את השיון למחר לשש ארבעים ושמונה,alarm_set,0
כווני את השעון למחר בבוקר שש ארבעים ושמונה,alarm_set,1
שלחי לישראל זילברמן את ההודעת טקסט הבאה בא אם אס תתקשר אליי כשתתפנה בבקשה,send_message,1
אני מעוניין לבדוק מה היא עיר הבירה של בליז,query,1
אני רוצה להגיע ברגל לרוטשילד שלושים בבאר שבע שדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
אני צריך להגיע ברגל לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
אני צריך לשדרות רוטשילד שלושים בבאר שבע ללכת ברגל,transport_query,0
אני צריך להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
אני צריך להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
אני הולך ברגל לרוטשילד שלושים בבאר שבע תעזרי לי להגיע,transport_query,0
איך אני מגיע ברגל לשלושים רוטשילד בבאר שבע,transport_query,0
אני רוצה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
איך אני מגיע לשלושים רוטשילד רוטשילד שלושים בבאר שבע,transport_query,0
אני רוצה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
איך אני מגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
אני מעוניין להגיע ברגל לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
אני מעוניין להיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
איך אני מגיע ברגל לשלושים רוטשילד באר שבע,transport_query,0
אני מעוניין לרשום ביומן פגישות דוקטור רימון בשם ליום רביעי ליוני ארבע עשרה ושלושים שעה ארבע עשרה ושלושים,calendar_set,0
אני מעוניין לרשום ביומן פגישה עם דוקטור רימון רופא ליוני בשעה ארבע עשרה ושלושים,calendar_set,0
אני מעוניין בפגישה עם דוקטור רימון בתאריך הרביעי ליוני בשעה ארבע עשרה ושלושים,calendar_set,1
תפתחי את המצלמה בבקשה,camera_query,1
מעוניין אם ירד מחר גשם בתל אביב,weather_query,1
אני מעוניין ברשימה קניות חלב ביצים ודגים,lists_createoradd,0
אני מעוניין ברשימת קניות חלב ביצים ודגים,lists_createoradd,0
אני מעוניין בפתק רשימת קניות חלב ביצים ודגים,lists_createoradd,0
אני מעוניין ברשימת קניות חלב ביצים ודגים,lists_createoradd,0
אני צריך פתקית של רשימת קניון חלב ביצים ודגים,lists_createoradd,0
אני צריך פתק רשימת קניות חלב ביצים ודגים,lists_createoradd,1
תדליקי לי בבקשה את הפנס בפלאפון,iot_wemo_on,1
תתקשרי בבקשה לאנה לוי שנמצאת באנשי הקשר,call_contact,1
לכוון את השעון המעורר למחר בשעה שש ארבעים ושמונה בבוקר,alarm_set,1
אני מעוניינת שתכווני לי שעון מעורר למחר בשעה שש ארבעים ושמונה בבוקר,alarm_set,0
אני מעוניינת שתשלחי הודעת טקסט הבאה באס אם אס תתקשר אליי כשתתפנה בבקשה לישראל זילברמן תודה ,send_message,1
אנא שלחי לישראל זילברמן את הודעת הטקסט הבאה באס אם אס,send_message,0
לשלוח לישראל זילברמן הודעת הטקסט באס אם אס תתקשר אליי כשתתפנה בבקשה,send_message,0
אני מעוניינת לבדוק מה היא העיר הבירה של בליז תודה,query,0
מעוניינת לבדוק מה היא העיר הבירה של בליז,query,1
אני מעוניינת להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל עם מפה בבקשה,transport_query,0
אני מעוניינת להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל עם מפה,transport_query,0
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל עם ניווט,transport_query,0
אני מעוניינת להכניס ליומן פגישה עם דוקטור רימון בשם תור לרופא בתאריך הרביעי ליוני בשעה ארבע עשרה ושלושים,calendar_set,0
תכניסי אותי בבקשה ליומן פגישה עם דוקטור רימון תור לרופא,calendar_set,0
לפתוח בבקשה מצלמה,camera_query,1
אני מעוניינת לדעת אם ירד מחר גשם בתל אביב,weather_query,1
אני מעוניינת לרשום פתק עם רשימת קניות שבה יהיה חלב ביצים ודגים,lists_createoradd,1
מעוניינת להדליק את הפנס בפלאפון,iot_wemo_on,1
תתקשרי בשבילי בבקשה לאנה לוי תודה,call_contact,1
את מוכנה בבקשה לכוון את השעון המעורר לשש ארבעים ושמונה בבוקר תודה,alarm_set,0
את מוכנה בבקשה לכוון את השעון לשש ארבעים ושמונה בבוקר,alarm_set,0
מעוניינת בהשכמה בשש ארבעים ושמונה תודה,alarm_set,0
מעוניינת בהשכמה בשש ארבעים ושמונה בבוקר תודה,alarm_set,0
בבקשה תעירי אותי בשש ארבעים ושמונה בבוקר,alarm_set,0
בבקשה תעירי אותי בשש ארבעים ושמונה בבוקר,alarm_set,0
תעירי אותי בבקשה בשש ארבעים שמונה בבוקר,alarm_set,0
תשלחי לישראל זילברמן את הודעת הטקסט הבאה באס אם אס תתקשר אליי כשתתפנה בבקשה,send_message,0
תשלחי לישראל זילברמן הודעה באס אם אס כשהוא יתפנה שיתקשר אליי,send_message,1
מה היא עיר הבירה של בליז,query,1
אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
את מוכנה לנווט אותי לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
את מוכנה לנווט אותי לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
את מוכנה לנווט אותי לרחוב שדררות רוטשילד באר שבע ברגל,transport_query,0
אני מעוניינת להכניס ליומן פגישה עם דוקטור רימון בתאריך הרביעי ליוני בשתיים וחצי בצהריים,calendar_set,0
אני מעוניינת להכניס ליומן פגישה עם דוקטור רימון בשם תור לרופא בתאריך הרביעי ליוני בשעה שתיים וחצי,calendar_set,1
אני מעוניינת לצלם תמונה של נוף בעזרת האייפון,camera_query,1
אני מעוניינת לדעת אם ירד מחר גשם בתל אביב,weather_query,1
אני מעוניינת לרשום פתק עם רשימת קניות שבה יהיה חלב ביצים ודגים תודה,lists_createoradd,1
אני מעוניינת להדליק את הפנס בפלאפון,iot_wemo_on,1
תתקשרי לאנה לוי בבקשה,call_contact,0
תתקשרי בבקשה לאנה לוי,call_contact,0
תתקשרי לאנה לוי,call_contact,0
תתקשרי לאנה לוי,call_contact,0
תתקשרי לאנה לוי,call_contact,0
תתקשרי לאנה לוי,call_contact,0
תתקשרי לישראל זילברמן,call_contact,1
בבקשה תכוון שעון מעורר לשעה שש ארבעים ושמונה בבוקר,alarm_set,0
תכוון בבקשה שעון מעורר לשש ארבעים ושמונה בבוקר,alarm_set,0
תכוון שעון מעורר לשש ארבעים ושמונה בבוקר,alarm_set,0
תכוון שעון מעורר לשש ארבעים ושמונה דקות בבוקר,alarm_set,1
תשלח בבקשה אס אם אס לישראל זילברמן שיתקשר אליי בבוקר,send_message,0
תשלחי בבקשה לישראל זילברמן הודעה תתקשר אליי שתתפנה בבוקר,send_message,1
הייתי רוצה לשאול מה העיר בירה של ליז,query,0
הייתי רוצה לשאול מה עיר הבירה של בליז,query,0
מה היא עיר הבירה בליז,query,1
אני צריך מסלול איך להגיע לשדררות רוטשילד שלושים בבאר שבע ברגל,transport_query,1
תכניסי בבקשה ליומן שלי פגישה עם דוקטור רימון בשם תור לרופא בתאריך רביעי ליוני בשעה ארבע עשרה ושלושים דקות,calendar_set,1
בבקשה תעשי לי תמונה של הנוף,camera_query,1
האם מחר בתל אביב ירד גשם,weather_query,1
תרשום לי פתק עם רשימת הקניות שבה יהיה חלב ביצים ודגים,lists_createoradd,0
תעשי לי פתק לקניה רשימה קנייה שבה יהיה חלב ביצים ודגים,lists_createoradd,0
תעשי לי רשימה לקניה שבה יהיה חלב ביצים ודגים,lists_createoradd,0
תעשי לי פתק עם רשימה לקניה שבה יהיה חלב ביצים ודגים,lists_createoradd,1
תדליקי פנס באייפון,iot_wemo_on,1
