transcript_hebrew,intent,label
 את יכולה במפות לפתוח לי מסלול לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 אני צריך להגיע לכתובת שדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 את יכולה להראות לי איך להגיע ברגל לשדרות רוטשילד שלושים באר שבע,transport_query,0
 את יכולה להכניס לי ליומן אירוע ליום רביעי לרביעי ליוני בשעה שתיים וחצי בצהריים תור לרופא,calendar_set,1
 את יכולה לפתוח את המצלמה,camera_query,1
 מחר יהיה גשם בתל אביב,weather_query,1
 את יכולה לפתוח לי פתק של רשימת קניות שכתוב בו חלב ביצים ודגים,lists_createoradd,0
 את יכולה לכתוב פתק שקוראים לו רשימת קניות עם חלב ביצים ודגים,lists_createoradd,1
 את יכולה לפתוח את הפנס,iot_wemo_on,1
 תתקשרי לאנה לוי,call_contact,1
 תכווני שעון מעורר למחר בשעה שש ארבעים ושמונה דקות בבוקר,alarm_set,1
 תשלחי הודעה לישראל זילברמן באס אם אס נקודותיים תתקשר אלי כשתתפנה בבקשה,send_message,1
 מה עיר הבירה של מדינת בליז,query,0
 מה עיר הבירה של בליז,query,1
 אני צריך לנווט לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 אני רוצה לנווט לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תנווטי לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תעזרי לי לנווט לשדרות רוטשילד שלושים בבאר שבע בצורה רגלית,transport_query,0
 אני רוצה להגיע ברגל לרחוב שדרות רוטשילד שלושים בבאר שבע,transport_query,0
 באמצעות אפליקציית מפות תעזרי לי להגיע מהמיקום הנוכחי שלי לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 אני רוצה לקבל הוראות הגעה לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 אני צריך עזרה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 אני צריך עזרה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תכניסי ליומן פגישה עם דוקטור רימון בשם תור לרופא בתאריך הרביעי ליוני בשעה שתיים וחצי בצהריים,calendar_set,1
 תדליקי את המצלמה,camera_query,1
 האם ירד גשם מחר בתל אביב לפי התחזית,weather_query,1
 תוסיפי רשימת קניות שבה יהיה חלב ביצים ודגים,lists_createoradd,0
 תוסיפי פתק בשם רשימת קניות שבו כתוב חלב ביצים ודגים,lists_createoradd,1
 תדליקי את הפנס,iot_wemo_on,1
 את יכולה להתקשר לאנה לוי,call_contact,1
 את יכולה לשים לי שעון מעורר למחר בשש ארבעים ושמונה,alarm_set,1
" את יכולה לשלוח SMS לישראל זילברמן שיחזור אלי כשהוא מתפנה. : הקריאה את ההודעה ""שיחזור אלי שיתפנה"" נסיין: לא, תשלחי לו תחזור אלי כשתתפנה.",send_message,1
 מה העיר בירה של בליז,query,1
 את יכולה לנווט אותי לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 את יכולה לבנות לי מסלול ניווט לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,1
 את יכולה לשים לי פגישה עם דוקטור רימון זה תור לרופא זה יהיה ברביעי ביוני בשעה שתים וחצי,calendar_set,0
 תקבעי לי פגישה ביומן בשעה שתיים וחצי עם דוקטור רימון. : מה השם של האירוע. נסיין: דוקטור רימון,calendar_set,1
 את יכולה לפתוח לי את המצלמה במצב צילום נוף,camera_query,0
 את יכולה לפתוח לי את המצלמה במצב של צילום נוף,camera_query,0
 אני רוצה לצלם עכשיו תמונה של נוף,camera_query,1
 את יכולה להגיד לי מה המזג אוויר מחר בתל אביב,weather_query,1
 את יכולה לרשום לי בפתקים רשימת קניות עם חלב ביצים ודגים,lists_createoradd,1
 תדליקי את הפנס,iot_wemo_on,1
 תתקשרי לאנה לוי,call_contact,1
 תעירי אותי מחר בשש ארבעים ושמונה בבוקר,alarm_set,0
 תעירי אותי מחר בשש ארבעים ושמונה בבוקר,alarm_set,0
 תעירי אותי מחר בשש ארבעים ושמונה,alarm_set,1
 תשלחי לישראל זילברמן תתקשר אלי כשתתפנה בבקשה,send_message,1
 מה העיר בירה של בליז,query,1
 איך מגיעים לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 תכווני אותי איך להגיע לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 איך מגיעים לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,1
 תתאמי לי ביומן פגישה עם דוקטור רימון בשם תור לרופא ברביעי ליוני בשעה שתיים וחצי,calendar_set,1
 תפתחי את המצלמה,camera_query,1
 מה מזג האוויר מחר בתל אביב,weather_query,1
 תיצרי לי רשימת קניות עם חלב ביצים ודגים,lists_createoradd,0
 תיצרי לי פתק עם הרשימה הבאה חלב ביצים ודגים,lists_createoradd,1
 תדליקי את הפנס,iot_wemo_on,1
 את יכולה להתקשר לאנה לוי,call_contact,1
 את יכולה לכוון שעון לשש ארבעים ושמונה בבוקר,alarm_set,0
 את יכולה לכוון שעון מעורר לשש ארבעים ושמונה בבוקר,alarm_set,0
 את יכולה לכוון שעון לשש ארבעים ושמונה בבוקר,alarm_set,0
 את יכולה לכוון שעון לשש ארבעים ושמונה דקות בבוקר,alarm_set,1
 את יכולה לשלוח לישראל זילברמן את ההודעה תתקשר אליי כשתתפנה בבקשה,send_message,1
 מה היא עיר הבירה של בליז,query,1
 איך מגיעים לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 אני רוצה להגיע ברגל לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 תנווטי אותי לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תנווטי אותי ברגל לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 איך מגיעים ברגל לשדרות רוטשילד שלושים באר שבע,transport_query,0
 תפתחי מפה לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תוסיפי לי פגישה עם דר רימון בתאריך הרביעי ליוני בשעה שתיים וחצי ותקראי לזה תור לרופא,calendar_set,1
 תצלמי לי תמונה באמצעות אייפון,camera_query,1
 מחר ירד גשם בתל אביב,weather_query,1
 תעשי לי רשימת קניות עם חלב ביצים ודגים,lists_createoradd,0
 תעשי לי פתק עם חלב ביצים ודגים,lists_createoradd,1
 תדליקי את הפנס,iot_wemo_on,1
 תתקשרי לאנה לוי,call_contact,1
 תכווני שעון מעורר למחר בשעה שש ארבעים ושמונה,alarm_set,1
 תשלחי הודעת אסאמס לישראל זילברמן ותשלחי תתקשר אליי כשתתפנה בבקשה,send_message,1
 מה עיר הבירה של בליז,query,1
 איך מגיעים לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,1
 תוסיפי ליומן בבקשה פגישה עם דר רימון ותקראי לה תור לרופא ברביעי לשישי בשתיים וחצי,calendar_set,0
 תקבעי לי תור לרופא ברביעי לשישי בשתיים וחצי ותקראי לו תור לרופא,calendar_set,0
 תקבעי לי פגישה ביומן ברביעי לשישי בשתיים וחצי פגישה עם דר רימון,calendar_set,0
 תקבעי לי בבקשה פגישה ליומן ברביעי לשישי בשעה שתיים וחצי אחרי הצהריים,calendar_set,1
 אני רוצה לצלם תמונה של הנוף,camera_query,1
 האם צפוי לרדת גשם מחר בתל אביב,weather_query,1
 צרי פתק עם רשימת קניות שיהיה כתוב בו חלב ביצים ודגים,lists_createoradd,1
 תדליקי את הפנס בבקשה,iot_wemo_on,1
 את יכולה בבקשה להתקשר לאנה לוי,call_contact,1
 תעשי בבקשה שעון מעורר לשש ארבעים ושמונה בבוקר מחר,alarm_set,0
 אפשר בבקשה שעון מעורר למחר לשש ארבעים ושמונה בבוקר,alarm_set,0
 אפשר בבקשה שעון מעורר למחר לשש ארבעים ושמונה בבוקר,alarm_set,0
 תקבעי שעון למחר לשש ארבע שמונה בבוקר,calendar_set,0
 אני רוצה בבקשה שעון מעורר למחר לשתיים עשרה לשבע בבוקר,alarm_set,1
 תשלחי בבקשה הודעה לישראל זילברמן תתקשר אליי שתפנה בבקשה,send_message,1
 מהי עיר הבירה של בליז,query,1
 אפשר הוראות הגעה לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 אני צריכה הוראות הגעה לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תני לי הוראות הגעה לשדרות רוטשילד שלושים בבאר שבע ברגל בבקשה,transport_query,0
 תפתחי לי גוגל מפס אני צריכה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תפתחי לי מפה להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 אני רוצה לבגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 אי רוצה להגיע לשדרות רוטשילד שלושים ברגל בבקשה את יכולה לפתוח לי מפות,transport_query,0
 תפתחי לי מפה לרוטשילד שלושים בבאר שבע בבקשה,transport_query,0
 אני רוצה להגיע לשדרות רוטשילד שלושים תפתחי לי מפה כדי שאני אוכל להגיע,transport_query,0
 שימי לי תור לרופא דוקטור רימון תור לרופא בתאריך הרביעי ליוני בשתיים וחצי,calendar_set,0
 בתאריך הרביעי לשישי בשתיים וחצי תקבעי לי פגישה עם דוקטור רימון לשעה בבקשה,calendar_set,0
 תקבעי לי תור ביומן תור לרופא ברביעי לשישי בשתיים וחצי,calendar_set,0
 בשתיים וחצי ברביעי לשישי תשימי לי תור לרופא בבקשה ליומן עם דוקטור רימון,calendar_set,0
 תצלמי את הנוף בבקשה,camera_query,0
 תפתחי את המצלמה בבקשה,camera_query,1
 קחי תמונה,camera_query,1
 האם ירד גשם מחר בתל אביב,weather_query,1
 תפתחי לי בבקשה פתק חדש של רשימת קניות עם חלב ביצים ודגים,lists_createoradd,1
 תפתחי פנס,iot_wemo_on,1
 תתקשרי לאנה לוי,call_contact,1
 אני רוצה שעון מעורר למחר לשעה שש ארבעים ושמונה,alarm_set,1
 תשלחי הודעה לישראל זילברמן תתקשרי אליי שתתפני בבקשה,send_message,1
 מהי עיר הבירה של בליז,query,1
 תנווטי אותי לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 אני רוצה להגיע לשדרות רוטשילד שלושים ברגל,transport_query,1
 תקבעי לי תור ליומן פגישה עם דוקטור רימון לרופא בתאריך,calendar_set,0
 תקבעי לי פגישה ליומן עם דוקטור רימון תור לרופא בתאריך רביעי ליוני בשעה שתיים וחצי,calendar_set,1
 תפתחי מצלמה,camera_query,1
 מזג אוויר מחר בתל אביב,weather_query,1
 תרשמי לי פתק רשימת קניות חלב ביצים,lists_createoradd,0
 תרשמי פתק רשימת קניות שיש שם חלב ביצים ודגים,lists_createoradd,0
 תצרי פתק השם רשימת קניות ובפנים תוסיפי חלב ביצים ודגים,lists_createoradd,0
 תוסיפי פתק עם כותרת רשימת קניות ובפנים תוסיפי חלב ביצים ודגים,lists_createoradd,0
 תצרי פתק בשם רשימת קניות בתוך הרשימת קניות יהיה חלב ביצים ודגים,lists_createoradd,0
 תצרי פתק בשם רשימת קניות בתוך הפתק אני רוצה חלב ביצים ודגים,lists_createoradd,1
 תדליקי פנס,iot_wemo_on,1
 תתקשרי לאנה לוי,call_contact,1
 תכווני שעון מעורר לשש ארבעים ושמונה,alarm_set,0
 תכווני שעון מעורר לשש ארבעים ושמונה בבוקר,alarm_set,0
 תכווני שעון מעורר לשש ארבעים ושמונה בבוקר,alarm_set,0
 תכווני שעון מעורר לשעה שש ארבעים ושמונה בבוקר,alarm_set,0
 תכווני שעון מעורר לאפס שש נקודתיים ארבעים ושמונה,alarm_set,0
 תכווני שעון למחר בבוקר בשעה שש ארבעים ושמונה,alarm_set,1
 תשלחי לישראל זילברמן הודעת אסמאס שבה רשום תתקשר אליי כשתתפנה בבקשה,send_message,1
 מהי עיר הבירה של בליז,query,1
 איך מגיעים לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,1
 תכניסי ליומן פגישה עם דקטור רימון בשם תור לרופא בתאריך רביעי ביוני בשעה שתיים וחצי,calendar_set,1
 תפתחי את המצלמה בבקשה,camera_query,1
 תבדקי אם מחר צפוי לרדת גשם בתל אביב,weather_query,1
 תרשמי פתק של רשימת קניות ובה רשום חלב ביצים ודגים,lists_createoradd,1
 תדליקי את הפנס,iot_wemo_on,1
 אני רוצה להתקשר לאנה לוי,call_contact,1
 תכווני לי שעון מעורר למחר לשש ארבעים ושמונה,alarm_set,1
 תשלחי לישראל זילברמן להתקשר כשהוא יתפנה,send_message,1
 מה עיר הבירה של בליז,query,1
 איך אני מגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 איך אני מגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 אני צריך להגיע לרחוב שדרות רוטשילד שלושים בעיר באר שבע ברגל איך אני עושה את זה,transport_query,0
 תגידי לי איך להגיע ברגל לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 שדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 איך אני מגיע ברגל לרחוב שדרות רוטשילד שלושים בבאר שבע,transport_query,0
 תכווני אותי לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תקבעי לי פגישה עם דוקטור רימון בשם תור לרופא ברביעי ליוני בשעה שתיים וחצי,calendar_set,1
 תצלמי לי תמונה של הנוף,camera_query,1
 האם יירד מחר גשם בתל אביב,weather_query,1
 תרשמי לי פתק עם רשימת קניות ותשימי בה חלב ביצים ודגים,lists_createoradd,0
 אני צריך פתק עם רשימת קניות שיהיה בה חלב ביצים ודגים,lists_createoradd,1
 תדליקי את הפנס בטלפון,iot_wemo_on,1
 אני מעוניין למצוא את אנה לוי באנשי קשר,call_contact,0
 את יכולה להתקשר לאנה לוי,call_contact,1
 את יכולה לכוון את השעון מעורר שלי למחר בשעה שש ארבעים ושמונה בבוקר,alarm_set,0
 אני רוצה שתשימי לי שעון מעורר למחר בשעה שש ארבעים ושמונה,alarm_set,1
 את יכולה לשלוח הודעת טקסט לישראל זילברמן ולרשום לו תתקשר אליי שתתפנה בבקשה,send_message,1
 את יכולה לבדוק מהי העיר בירה של בבליז,query,0
 את יכולה לבדוק מה העיר בירה של בליז,query,1
 את יכולה לנווט אותי לרוטשילד שלושים בבאר שבע ברגל,transport_query,1
 את יכולה להיכנס ליומן פגישה עם דוקטור רימון לתור לרופא בשעה רביעי ליוני בשעה שתיים וחצי,calendar_set,1
 את יכולה לפתוח את המצלמה באייפון,camera_query,0
 את יכולה לפתוח את המצלמה בטלפון,camera_query,0
 את יכולה לפתוח את האפליקציה של המצלמה,camera_query,0
 אני מעוניין לצלם תמונה את יכולה לפתוח לי את המצלמה,camera_query,1
 את יכולה לבדוק אם מחר יירד גשם בתל אביב,weather_query,1
 את יכולה לפתוח בפתקים פתק עם הכותרת רשימת קניות שיהיה רשום בפנים ביצים חלב ודגים,lists_createoradd,0
 את יכולה לפתוח בפתקים פתק חדש בנושא רשימת קניות שיהיה רשום בפנים ביצים חלב ודגים,lists_createoradd,1
 את יכולה לפתוח את המצלמה סליחה את הפנס בטלפון,iot_wemo_on,0
 את יכולה להדליק את הפנס בטלפון,iot_wemo_on,1
 את יכולה להתקשר לאנה לוי,call_contact,1
 את יכולה לשים שעון מעורר לשש וארבעים שמונה דקות,alarm_set,1
 את יכולה לשים שעון מעורר לשש בבוקר וארבעים שמונה דקות,alarm_set,0
 את יכולה לשים שעון מעורר לשש ארבעים שמונה בבוקר,alarm_set,0
 את יכולה לשים שעון מעורר לשש וארבעים שמונה דקות בבוקר,alarm_set,0
 את יכולה לשלוח הודעה לישראל זילברמן ולרשום תתקשר אליי כשתתפנה בבקשה,send_message,1
 מה העיר בירה של בליז,query,1
 את יכולה להגיד לי מה המסלול לשדרות רוטשילד שלושים בבאר שבע,transport_query,1
 את יכולה לפתוח גוגל מפס עם הכתובת שדרות רוטשילד שלושים בבאר שבע,transport_query,0
 איך אני מגיעה לשדרות רוטשילד שלושים ברגל בבאר שבע,transport_query,0
 את יכולה לבדוק לי מה המסלול לשדרות רוטשילד שלושים בבאר שבע במפות,transport_query,0
 את יכולה באפליקציה מפות לבדוק מה המסלול לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 את יכולה באפליקציה מפות לפתוח לי את הכתובת שדרות רוטשילד שלושים בבאר שבע ולעשות מסלול לשם ברגל,transport_query,0
 מה המסלול לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 את יכולה לבדוק איך אני מגיעה מאוניברסיטת בן גוריון לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 מה המסלול מאוניברסיטת בן גוריון לשדרות רוטשילד שלושים בבאר שבע בהליכה ברגל באפליקציית מפות,transport_query,0
 את יכולה לבדוק לי מה המסלול הליכה מאוניברסיטת בן גוריון לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 איך אני יכולה להגיע מאוניברסיטת בן גוריון לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 את יכולה לבדוק לי מה המסלול מאוניברסיטת בן גוריון לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 את יכולה להוסיף לי ביומן ברביעי ביוני בשעה שתיים וחצי פגישה בשם תור לרופא עם דוקטור רימון,calendar_set,0
 את יכולה לצלם תמונה של הנוף,camera_query,1
 את יודעת להגיד לי אם יש מחר גשם בתל אביב,weather_query,1
 את יכולה להוסיף פתק עם רשימת קניות של חלב ביצים ודגים,lists_createoradd,1
 את יכולה להדליק את הפנס,iot_wemo_on,1
 תתקשרי לאנה לוי,call_contact,1
 תכווני שעון מעורר לשעה שש ארבעים ושמונה בבוקר,alarm_set,0
 תכווני שעון מעורר לשעה שש ארבעים ושמונה בבוקר מחר,alarm_set,0
 כווני שעון מעורר לשעה שש וארבעים שמונה דקות בבוקר,alarm_set,1
 תשלחי הודעת אסאמס לישראל זילברמן תתקשר אליי כשתתפנה בבקשה,send_message,1
 מהי עיר הבירה של בליס,query,0
 מהי עיר הבירה של בליז,query,1
 איך אני מגיעה לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תמצאי מסלול לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תמצאי מסלול במפות לשדרות רוטשילד שלושים בבאר שבע בהליכה,transport_query,0
 תמצאי מסלול במפות לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 מה המסלול להגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תמצאי מסלול במפות לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 תמצאי מסלול בהליכה במפות לשדרות רוטשילד שלושים בבאר שבע,transport_query,0
 תמצאי מסלול במפות בהליכה לשדרות רוטשילד שלושים בבאר שבע,transport_query,1
 תכניסי פגישה ליומן בתאריך רביעי ביוני בשעה שתיים וחצי בצהריים בשם תור לרופא עם דוקטור,calendar_set,0
 תכניסי פגישה ליומן בתאריך רביעי ביוני בשעה שתיים וחצי בצהריים בשם תור לרופא עם דוקטור רימון,calendar_set,1
 תפתחי את המצלמה,camera_query,1
 האם הולך לרדת גשם מחר בתל אביב,weather_query,1
 תצרי פתק חדש בשם רשימת קניות ותכתבי חלב ביצים ודגים,lists_createoradd,1
 תדליקי את הפנס,iot_wemo_on,1
 את יכולה להתקשר לאנה לוי,call_contact,1
 את יכולה לכוון לי שעון למחר בשש ארבעים ושמונה בבוקר,alarm_set,0
 את יכולה לכוון לי שעון מעורר לשש ארבעים ושמונה בבוקר,alarm_set,0
 את יכולה לכוון לי שעון מעורר לשעה שש וארבעים שמונה דקות בבוקר,alarm_set,1
 את יכולה לשלוח הודעת טקסט לישראל זילברמן בהודעה תרשמי תתקשרי אליי בבקשה שתתפנה,send_message,1
 את יכולה לבדוק לי באינטרנט מה היא העיר בירה של בליז,query,1
 את יכולה להראות לי איך אני מגיע לשדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 את יכולה להראות לי איך אני מגיע מהמיקום הנוכחי שלי לכתובת שדרות רוטשילד שלושים בבאר שבע ברגל,transport_query,0
 את יכולה להכניס לי פגישה ליומן עם דוקטור רימון שם הפגישה תהיה תור לרופא התאריך הרביעי ליוני שעה שתיים וחצי,calendar_set,0
 את יכולה להראות לי מסלול ברגל ממיקוי הנוכחי לשדרות רוטשילד שלושים בבאר שבע,transport_query,1
את יכולה לקבוע לי פגישה ביומן בתאריך הרביעי ליוני בשעה שתיים וחצי שם הבדיקה תור לרופא,calendar_set,1
 את יכולה לפתוח את המצלמה ולהפעיל טיימר,camera_query,0
 את יכולה לפתוח את המצלמה,camera_query,1
 את יכולה להגיד לי אם מחר יירד גשם בתל אביב,weather_query,1
 את יכולה לרשום לי פתק שהכותרת שלו היא רשימת קניות ובפתק רשומים חלב ביצים ודגים,lists_createoradd,1
 את יכולה להדליק את הפנס,iot_wemo_on,1
 תתקשרי לאנה לוי,call_contact,1
 תכווני שעון מעורר לשש ארבעים ושמונה בבוקר,alarm_set,0
 תכווני שעון מעורר לשש ארבעים ושמונה בבוקר,alarm_set,0
 תכווני שעון מעורר לשש ארבעים ושמונה דקות בבוקר,alarm_set,1
 תרשמי הודעת אס אם אס לישראל זילברמן ותרשום תתקשר אליי כשתתתפנה בבקשה,send_message,1
 מה עיר הבירה של בליז,query,1
 איך אני מגיעה לשדרות רוטשילד שלושים לבאר שבע ברגל,transport_query,0
 תשתמשי במפות כדי למצוא איך מגיעים לשדרות רוטשילד שלושים ברגל,transport_query,1
 תכניסי ליומן ברביעי ליוני בשעה שתיים וחצי פגישה עם דוקטור רימון,calendar_set,1
 תקבעי לי ביומן ברביעי ליוני בשעה שתיים וחצי תור עם דוקטור רימון בשם תור לרופא,calendar_set,1
 תפעילי מצלמה,camera_query,1
 האם ירד גשם מחר בתל אביב,weather_query,1
 תרשמי פתק בשם רשימת קניות עם המילים הבאות חלב ביצים ודגים,lists_createoradd,1
 תדליקי את הפנס,iot_wemo_on,1
