transcript_hebrew,intent
איך מגיעים לפארק ברעננה ברגל?,transport_query
תנווטי אותי לאולם האירועים בתל אביב.,transport_query
איך אני מגיע לבית חולים הקרוב?,transport_query
תמצאי לי מסלול מהיר מירושלים לנתניה.,transport_query
תראי לי את הדרך מבאר שבע לתל אביב.,transport_query
תנווטי אותי לשדה התעופה בן גוריון.,transport_query
איך מגיעים לחוף הים בחיפה באוטובוס?,transport_query
תראי לי מסלול ממודיעין לתל אביב.,transport_query
תבדקי אם יש רכבת מבאר שבע לירושלים.,transport_query
איך אפשר להגיע לקניון הזהב ברכב?,transport_query
תנווטי אותי לעיריית תל אביב.,transport_query
תמצאי לי דרך מהירה מירושלים לחיפה.,transport_query
איך אני מגיע לחנות בגדים ברחוב הרצל?,transport_query
תראי לי את הדרך מפתח תקווה לאוניברסיטת תל אביב.,transport_query
תמצאי מסלול לקניון הגדול בפתח תקווה.,transport_query
", תדליקי את הבלוטות'.",iot_wemo_on
", תכבי את מצב טיסה.",iot_wemo_on
תדליקי את הפנס שלי.,iot_wemo_on
", תחברי אותי ל-WiFi.",iot_wemo_on
תבדקי אם הבלוטות' פועל.,iot_wemo_on
", תפעילי את מצב טיסה.",iot_wemo_on
תכבי את ה-WiFi בבקשה.,iot_wemo_on
", הדליקי את הפנס.",iot_wemo_on
תחברי אותי לרשת WiFi.,iot_wemo_on
תפעילי את הבלוטות'.,iot_wemo_on
", תכבי את הפנס.",iot_wemo_on
תחברי אותי לרשת הביתית.,iot_wemo_on
תבדקי אם מצב טיסה פועל.,iot_wemo_on
תדליקי את מצב טיסה בבקשה.,iot_wemo_on
", תדליקי את ה-WiFi.",iot_wemo_on
תכבו את הבלוטות' בבקשה.,iot_wemo_on
", תפעילי את הפנס.",iot_wemo_on
תחברי אותי לרשת WiFi קרובה.,iot_wemo_on
תבדקי אם ה-WiFi פעיל.,iot_wemo_on
", תדליקי את מצב טיסה.",iot_wemo_on
תכבו את מצב הטיסה.,iot_wemo_on
", תפעילי את הבלוטות'.",iot_wemo_on
תדליקי את ה-WiFi במכשיר.,iot_wemo_on
", תדליקי את הפנס עכשיו.",iot_wemo_on
תבדקי אם הרשת זמינה.,iot_wemo_on
תחברי אותי ל-WiFi הציבורי.,iot_wemo_on
תפעילי את הבלוטות' שלי.,iot_wemo_on
", תכבי את מצב הטיסה.",iot_wemo_on
תדליקי את הפנס ותבדקי אור.,iot_wemo_on
תחברי אותי לאינטרנט.,iot_wemo_on
", תבדקי אם מצב טיסה כבוי.",iot_wemo_on
תכבו את הרשת האלחוטית.,iot_wemo_on
", תפעילי את ה-WiFi שלי.",iot_wemo_on
תדליקי את הבלוטות' בבקשה.,iot_wemo_on
תבדקי אם אני מחובר ל-WiFi.,iot_wemo_on
", תחברי אותי לבלוטות'.",iot_wemo_on
תכבי את הפנס עכשיו.,iot_wemo_on
", תדליקי את מצב טיסה שלי.",iot_wemo_on
תפעילי את הרשת האלחוטית.,iot_wemo_on
", תדליקי את הפנס שלי בבקשה.",iot_wemo_on
תחברי אותי ל-WiFi במשרד.,iot_wemo_on
", תדליקי את הבלוטות'.",iot_wemo_on
תכבי את מצב הטיסה עכשיו.,iot_wemo_on
", תחברי אותי לאינטרנט.",iot_wemo_on
תדליקי את ה-WiFi ותבדקי חיבור.,iot_wemo_on
תפעילי את הפנס שלי.,iot_wemo_on
", תכבי את ה-WiFi.",iot_wemo_on
תדליקי את הפנס בבקשה.,iot_wemo_on
תחברי אותי לרשת אלחוטית.,iot_wemo_on
", תבדקי אם מצב הטיסה פעיל.",iot_wemo_on
", תצלמי תמונה מהירה.",camera_query
", תתחילי לצלם וידאו מיד.",camera_query
", תתחילי צילום וידאו.",camera_query
תבדקי אם המצלמה עובדת.,camera_query
תצלמי וידאו מהחדר.,camera_query
", תפעילי את המצלמה ותתחילי לצלם.",camera_query
", תפתחי את המצלמה.",camera_query
תצלמי את הסלון עם המצלמה.,camera_query
תפתחי את המצלמה ותצלמי וידאו.,camera_query
תצלמי אותי בסלון.,camera_query
תצלמי אותי ואת הכלב.,camera_query
תצלמי תמונה עכשיו.,camera_query
תפעילי את המצלמה האחורית.,camera_query
", תפתחי את המצלמה ותצלמי תמונה.",camera_query
", תתחילי לצלם אותי עכשיו.",camera_query
", תצלמי אותי ותשמרי את התמונה.",camera_query
תתחילי לצלם אותי ואת המשפחה.,camera_query
תצלמי אותי ליד השולחן.,camera_query
תפתחי את המצלמה ותתחילי לצלם.,camera_query
תפעילי את המצלמה ותתחילי לצלם אותי.,camera_query
", תפעילי את המצלמה הקדמית.",camera_query
תפתחי את המצלמה ותתחילי לצלם וידאו.,camera_query
תפתחי את המצלמה ותצלמי אותי.,camera_query
", תצלמי את התמונות היפות.",camera_query
", תצלמי את התמונה ליד השולחן.",camera_query
", תפעילי את המצלמה ותצלמי וידאו.",camera_query
", תצלמי את הנוף הזה.",camera_query
", תצלמי תמונה ברורה.",camera_query
", תצלמי אותי ואת הנוף.",camera_query
תפעילי את המצלמה ותצלמי תמונה יפה.,camera_query
", תצלמי את התמונה הזאת.",camera_query
", תפעילי את המצלמה ותצלמי.",camera_query
", תצלמי את החדר הזה.",camera_query
תפתחי את המצלמה ותצלמי אותי מהר.,camera_query
תצלמי אותי ואת הנוף ליד הבית.,camera_query
תצלמי אותי עם החברים.,camera_query
תתחילי לצלם אותי עכשיו.,camera_query
", תפעילי את מצלמת הסלפי.",camera_query
", תצלמי תמונה יפה.",camera_query
", תצלמי את החדר במצלמה הקדמית.",camera_query
תצלמי את האורחים בבית.,camera_query
תפעילי את מצלמת הווידאו.,camera_query
", תצלמי את הילדים בחצר.",camera_query
", תצלמי אותי במטבח.",camera_query
תפעילי את המצלמה ותצלמי.,camera_query
תתחילי לצלם וידאו ארוך עכשיו.,camera_query
", תצלמי תמונה של החצר.",camera_query
", תפתחי את המצלמה ותצלמי אותנו.",camera_query
תצלמי וידאו קצר עכשיו.,camera_query
תצלמי אותי ואת החתול שלי.,camera_query
", תתקשרי לדודה שלי.",call_contact
התקשרי לקולגה בעבודה.,call_contact
תתקשרי לחברה על האירוע.,call_contact
", התקשרי לאמא שלי על הארוחה.",call_contact
תתקשרי לאחותי על האירוע.,call_contact
", תתקשרי לחבר על האירוע.",call_contact
תתקשרי לשכן שלי על החוג.,call_contact
", תתקשרי לחבר שלי על הסרט.",call_contact
", תתקשרי ליעל על ההזמנה.",call_contact
התקשרי לחברה שלי על הפגישה.,call_contact
תתקשרי לדוד שלי עכשיו.,call_contact
", תתקשרי לאמא שלי.",call_contact
", תתקשרי לארז על הארוחה.",call_contact
", תתקשרי לרופא עכשיו.",call_contact
תתקשרי לרופא השיניים.,call_contact
", התקשרי לבת זוג שלי.",call_contact
תתקשרי לרופא שלי בבקשה.,call_contact
התקשרי לחבר על התוכנית.,call_contact
תתקשרי למורה הפרטי.,call_contact
תתקשרי למורה על ההתפתחות.,call_contact
התקשרי לבת שלי על השיעור.,call_contact
תתקשרי לשכנה על הפגישה.,call_contact
", תתקשרי לאחותי בבקשה.",call_contact
", התקשרי לרופא הילדים.",call_contact
התקשרי לשכנה שלי על הפגישה.,call_contact
", התקשרי לנהג המונית.",call_contact
תתקשרי לרופא השיניים על הביקור.,call_contact
תתקשרי לרופא בבקשה.,call_contact
התקשרי לקולגה שלי על הפרויקט.,call_contact
תתקשרי למורה למתמטיקה.,call_contact
", תתקשרי למנהל בעבודה.",call_contact
התקשרי לשכן שלי מיד.,call_contact
", התקשרי לחברה מבית הספר.",call_contact
", התקשרי לעורך דין שלי.",call_contact
התקשרי לחברה שלי עכשיו.,call_contact
", תתקשרי לשכן על התור.",call_contact
תתקשרי לדודה שלי על הארוחה.,call_contact
", תתקשרי לבת שלי מיד.",call_contact
התקשרי למנהל החשבונות שלי.,call_contact
התקשרי לבן דוד שלי מיד.,call_contact
התקשרי לבן שלי על הארוחה.,call_contact
התקשרי לסבא שלי.,call_contact
התקשרי לחבר מהעבודה.,call_contact
", התקשרי לחבר מהקבוצה.",call_contact
", תתקשרי לדנה על הטיול.",call_contact
תתקשרי לנהג המונית.,call_contact
התקשרי לשכנה על המבחן שלה.,call_contact
", תתקשרי לנהג ההסעות.",call_contact
", תתקשרי לאבא שלי מיד.",call_contact
", תתקשרי לדוד שלי על הפגישה.",call_contact
", התקשרי לנהג ההסעות מיד.",call_contact
", תתקשרי למורה לספרות.",call_contact
תתקשרי למנהל שלי על הפרויקט.,call_contact
התקשרי לבת שלי עכשיו.,call_contact
התקשרי לחבר שלי מהשכונה.,call_contact
", תתקשרי לנהג על האיסוף.",call_contact
התקשרי לחבר שלי על הבילוי.,call_contact
תתקשרי לדוד שלי על המסיבה.,call_contact
", התקשרי לארז על הטיול.",call_contact
תתקשרי למורה על המבחן.,call_contact
תתקשרי לאחותי בבקשה.,call_contact
", התקשרי לבן שלי עכשיו.",call_contact
", התקשרי לדנה על האירוע.",call_contact
", התקשרי לחבר שלי עכשיו.",call_contact
התקשרי לחבר על הארוחה.,call_contact
", תתקשרי לחברה על האירוע.",call_contact
", תתקשרי לחבר מהקבוצה.",call_contact
תתקשרי למורה על השיעור.,call_contact
", התקשרי לדוד שלי.",call_contact
תתקשרי ליעל על המסיבה.,call_contact
", תתקשרי לסבתא שלי.",call_contact
התקשרי לשכן על המבחן.,call_contact
", תתקשרי לחבר שלי.",call_contact
", תתקשרי לאמא שלי על החוג.",call_contact
", התקשרי לאמא בבקשה.",call_contact
", תתקשרי לאבא על הפגישה.",call_contact
", תתקשרי לחברה הכי טובה שלי.",call_contact
תתקשרי לחברה שלי על התוכנית.,call_contact
התקשרי לאבא שלי עכשיו.,call_contact
", תתקשרי לסבתא שלי על החג.",call_contact
", התקשרי לחברה על הפגישה.",call_contact
", תתקשרי לחבר שלי עכשיו.",call_contact
תתקשרי למנהל ותבקשי אישור.,call_contact
תתקשרי לרופא על הביטול.,call_contact
", התקשרי לחבר הקרוב.",call_contact
התקשרי לאבא שלי בבקשה.,call_contact
", תשלחי לסימון הודעה.",send_message
", תכתבי הודעה לחבר שלי.",send_message
", תשלחי הודעה לחברה על הבילוי.",send_message
", שלחי הודעה לסבתא.",send_message
", תשלחי לרופא הודעה על הביטול.",send_message
", תכתבי הודעה לחברה קרובה.",send_message
תכתבי ליעל שאני מתעכב.,send_message
שלחי הודעה לארז על המסיבה.,send_message
שלחי הודעה לשכן על הפגישה.,send_message
", שלחי הודעה לדוד שלי.",send_message
", תשלחי לסוכן ביטוח הודעה.",send_message
תשלחי הודעה לחבר על האירוע.,send_message
", תשלחי הודעה לקבוצה של המשפחה.",send_message
שלחי הודעה לקבוצת המשפחה.,send_message
שלחי הודעה לרותי על הפרויקט.,send_message
", שלחי למורה הודעה תודה.",send_message
שלחי הודעה לרותי בבקשה.,send_message
תשלחי הודעה לדוד שלי.,send_message
שלחי הודעה על שינוי תאריך הפגישה.,send_message
שלחי הודעה למורה על הפרויקט.,send_message
שלחי הודעה לשכנה על הפגישה.,send_message
", תכתבי הודעה לאורן.",send_message
תכתבי למנהל שאני אאחר.,send_message
", תכתבי לחבר מהעבודה.",send_message
תכתבי הודעה ליעקב שאני מתעכב.,send_message
תכתבי למורה על השיעור שלי.,send_message
שלחי הודעה לחברה על החוג.,send_message
שלחי הודעה למורה על התקדמותי.,send_message
", תשלחי הודעה לשכן על התוכנית.",send_message
", תשלחי הודעה להנהלה.",send_message
שלחי הודעה לחבר מהקבוצה.,send_message
שלחי הודעה לבת זוג שלי.,send_message
שלחי לאמא הודעה שאני בדרך.,send_message
שלחי הודעה לרופא שלי.,send_message
תשלחי הודעה למורה על השיעור.,send_message
", תשלחי הודעה לפקיד בקבלה.",send_message
", תשלחי לאחי הודעה.",send_message
", שלחי הודעה לבן שלי.",send_message
תכתבי לסבתא שאני אגיע בשבת.,send_message
", תכתבי הודעה לדודה שלי.",send_message
שלחי הודעה לחבר על הנסיעה.,send_message
", תכתבי למנהל בקשה לאיחור.",send_message
", תשלחי לסבתא הודעה על הביקור.",send_message
תכתבי לאחי על המבחן שלו.,send_message
", שלחי הודעה לשותף שלי.",send_message
", תשלחי הודעה לחבר על האימון.",send_message
שלחי הודעה לבן דוד שלי.,send_message
שלחי הודעה למנהל שלי.,send_message
", תשלחי הודעה לשכן על הטיול.",send_message
שלחי הודעה לדוד שלי על המסיבה.,send_message
שלחי הודעה למורה למתמטיקה.,send_message
תשלחי הודעה לחבר על התור שלו.,send_message
תכתבי לחברה הודעה שאני בבית.,send_message
תכתבי לרופא שאני מאחר.,send_message
תכתבי להודיה שאני מחכה לה.,send_message
תשלחי הודעה לחבר מהשכונה.,send_message
שלחי הודעה לחבר על הפגישה.,send_message
שלחי הודעה לחברה על התוכנית.,send_message
", שלחי הודעה לעורך דין.",send_message
שלחי הודעה לאבא שאני מאחר.,send_message
", תשלחי הודעה לחבר שלי על המפגש.",send_message
", תשלחי הודעה לשכנה שלי.",send_message
שלחי הודעה לחברה שאני אבוא מאוחר.,send_message
תכתבי לאבא שאני צריך לדבר איתו.,send_message
", תכתבי הודעה לחברה שלי.",send_message
תכתבי לבת שלי על המבחן.,send_message
שלחי הודעה לקולגה שיבוא.,send_message
", תכתבי לאביגיל הודעה.",send_message
תכתבי לבת שלי שאני בדרך.,send_message
שלחי הודעה לקבוצת החברים.,send_message
", תכתבי למנהל שאני מאחר היום.",send_message
", שלחי הודעה לילדים שלי.",send_message
תכתבי לאמא שאני מאחר.,send_message
", שלחי הודעה ליעקב.",send_message
שלחי הודעה לקולגה בעבודה.,send_message
תשלחי הודעה לאחותי על הביטול.,send_message
שלחי הודעה לנהג מונית.,send_message
תכתבי הודעה לאמא שאני בבית.,send_message
", תכתבי הודעה למורה לשפה.",send_message
תשלחי הודעה לנהג ההסעות.,send_message
שלחי הודעה למנהל החשבונות שלי.,send_message
", תכתבי הודעה לרופא שלי.",send_message
", תשלחי הודעה על הזמנה.",send_message
", שלחי הודעה לחבר על הסרט.",send_message
", תכתבי הודעה לדודה על הארוחה.",send_message
", תכתבי לאמא שאני בדרך.",send_message
תכתבי לאחותי שאני מגיע עוד מעט.,send_message
", תכתבי הודעה לאלי.",send_message
", תשלחי הודעה לרופא העיניים.",send_message
", תתקשרי לאמא שלי",call_contact
", תתקשרי לאבא בבקשה",call_contact
", אני רוצה לדבר עם סבתא",call_contact
", תתקשרי לדני מהכיתה",call_contact
", תצלצלי לאחותי",call_contact
", תתקשרי ליעל",call_contact
", תבצעי שיחה לדניאל מהעבודה",call_contact
", תתקשרי לבן זוג שלי",call_contact
", תצלצלי לרופא נשים",call_contact
", תתקשרי לאמא שלי בבקשה",call_contact
" היקרה, תתקשרי לנכדה שלי",call_contact
", אני רוצה שיחה עם שמעון מהמועדון",call_contact
", תתקשרי לרופא שלי",call_contact
", תצלצלי לבת שלי",call_contact
", תתקשרי לשרה",call_contact
", תתקשרי ללקוח האחרון",call_contact
", שיחה דחופה לבוס שלי עכשיו",call_contact
", תתקשרי למזכירה שלי",call_contact
", תבצעי שיחה למספר שנכנס הרגע",call_contact
", תתקשרי לרונית בפלאפון",call_contact
", תתקשרי לשותף שלי",call_contact
", תבצעי שיחה למרצה שלי",call_contact
", תתקשרי ליואב מהקבוצה",call_contact
", תצלצלי לאמא שלי",call_contact
", תתקשרי לחבר מהלימודים",call_contact
", תתקשרי לגן של הילדה",call_contact
", תתקשרי למורה של יואב",call_contact
", תצלצלי לרופא ילדים",call_contact
", תתקשרי לשכנה שלי",call_contact
", תבצעי שיחה לבעלי",call_contact
", תתקשרי לאורי",call_contact
", תבצעי שיחה לחבר שלי מהכיתה",call_contact
", תתקשרי לאמא עכשיו",call_contact
", תצלצלי לדוד שלי",call_contact
", תתקשרי לגיא",call_contact
", תצלצלי לאחותי",call_contact
", תבצעי שיחה לדניאל מהעבודה",call_contact
", תצלצלי לבת שלי",call_contact
", תתקשרי ללקוח האחרון",call_contact
", תצלצלי לאמא שלי",call_contact
", תתקשרי לגן של הילדה",call_contact
", תצלצלי לדוד שלי",call_contact
", אני רוצה לדבר עם סבתא",call_contact
", תצלצלי לרופא נשים",call_contact
", תצלצלי לבת שלי",call_contact
", תבצעי שיחה למספר שנכנס הרגע",call_contact
", תבצעי שיחה למרצה שלי",call_contact
", תתקשרי למורה של יואב",call_contact
", תתקשרי לגיא",call_contact
", תתקשרי לאבא בבקשה",call_contact
", תתקשרי לאמא שלי בבקשה",call_contact
", תתקשרי לרופא שלי",call_contact
", תתקשרי ללקוח האחרון",call_contact
", תתקשרי ליואב מהקבוצה",call_contact
", תצלצלי לרופא ילדים",call_contact
", תתקשרי לאמא עכשיו",call_contact
", תתקשרי לדני מהכיתה",call_contact
", תתקשרי לאמא שלי בבקשה",call_contact
", אני רוצה שיחה עם שמעון מהמועדון",call_contact
", תתקשרי ללקוח האחרון",call_contact
", תתקשרי ליואב מהקבוצה",call_contact
", תתקשרי לשכנה שלי",call_contact
", תבצעי שיחה לחבר שלי מהכיתה",call_contact
", תתקשרי לאבא בבקשה",call_contact
", תתקשרי לבן זוג שלי",call_contact
", תתקשרי לרופא שלי",call_contact
", תבצעי שיחה למספר שנכנס הרגע",call_contact
", תבצעי שיחה למרצה שלי",call_contact
", תצלצלי לרופא ילדים",call_contact
", תתקשרי לאורי",call_contact
", אני רוצה לדבר עם סבתא",call_contact
", תתקשרי לאמא שלי בבקשה",call_contact
" היקרה, תתקשרי לנכדה שלי",call_contact
", שיחה דחופה לבוס שלי עכשיו",call_contact
", תתקשרי לחבר מהלימודים",call_contact
", תתקשרי למורה של יואב",call_contact
", תתקשרי לאורי",call_contact
", תתקשרי לדני מהכיתה",call_contact
", תתקשרי לבן זוג שלי",call_contact
", תתקשרי לרופא שלי",call_contact
", תתקשרי למזכירה שלי",call_contact
", תתקשרי ליואב מהקבוצה",call_contact
", תצלצלי לרופא ילדים",call_contact
", תתקשרי לאורי",call_contact
", תתקשרי לאבא בבקשה",call_contact
", תתקשרי ליעל",call_contact
", תתקשרי לרופא שלי",call_contact
", תתקשרי לרונית בפלאפון",call_contact
", תתקשרי ליואב מהקבוצה",call_contact
", תתקשרי למורה של יואב",call_contact
", תתקשרי לאורי",call_contact
", תתקשרי לאבא בבקשה",call_contact
", תצלצלי לרופא נשים",call_contact
", תתקשרי לשרה",call_contact
", תתקשרי ללקוח האחרון",call_contact
", תתקשרי לחבר מהלימודים",call_contact
", תבצעי שיחה לבעלי",call_contact
", תתקשרי לגיא",call_contact
", תצלצלי לאחותי",call_contact
", תצלצלי לרופא נשים",call_contact
", אני רוצה שיחה עם שמעון מהמועדון",call_contact
", שיחה דחופה לבוס שלי עכשיו",call_contact
", תתקשרי לחבר מהלימודים",call_contact
", תבצעי שיחה לבעלי",call_contact
", תתקשרי לאורי",call_contact
", תתקשרי לאבא בבקשה",call_contact
", תתקשרי לבן זוג שלי",call_contact
" היקרה, תתקשרי לנכדה שלי",call_contact
", תתקשרי לרונית בפלאפון",call_contact
", תבצעי שיחה למרצה שלי",call_contact
", תתקשרי למורה של יואב",call_contact
", תצלצלי לדוד שלי",call_contact
", תתקשרי לדני מהכיתה",call_contact
", תצלצלי לרופא נשים",call_contact
", תתקשרי לשרה",call_contact
", שיחה דחופה לבוס שלי עכשיו",call_contact
", תתקשרי לחבר מהלימודים",call_contact
", תתקשרי לשכנה שלי",call_contact
", תתקשרי לגיא",call_contact
